   AU TBLno  BEC              ProportioRegen_DDensity       PCTRegen_MethUtil_DOAF1  OAF2   FIZ SPP_1      SI   GW_1      GW_ageSPP_2  PCTGW_2      GW_ageSPP_3  PCTGW_3      GW_ageSPP_4  PCTGW_4      GW_ageSPP_5  PCTGW_5        GW_
21000 21000  SBPS                   0.3  4     1001          87P         12.5  0.76  0.95   I   PL          7.6    3       12   AT     10                 SW      2                 FD      1                                          
22000 22000  SBPS                   0.3  4     1001          87P         12.5  0.67  0.95   I   PL          9.2    3       12   AT     10                 SW      2                 FD      1                                          
23000 23000  SBPS                   0.3  4     1001          87P         12.5  0.64  0.95   I   PL         12.4    3       12   AT     10                 SW      2                 FD      1                                          
21001 21001  MS                    0.85  2     1133          62P         12.5  0.62  0.95   I   PL          7.8    3       12   AT     17                 SW     10                 FD      8                 BL      3                
22001 22001  MS                    0.85  2     1133          62P         12.5  0.61  0.95   I   PL          8.8    3       12   AT     17                 SW     10                 FD      8                 BL      3                
23001 23001  MS                    0.85  2     1133          62P         12.5  0.63  0.95   I   PL         10.1    3       12   AT     17                 SW     10                 FD      8                 BL      3                
21002 21002  IDF                    0.9  2     1139          41P         17.5  0.59  0.95   I   PLI          11    9       12   FD     24                 AT     17                 SW     15                 BL      3                
22002 22002  IDF                    0.9  2     1139          41P         17.5  0.67  0.95   I   PLI        13.8    9       12   FD     24                 AT     17                 SW     15                 BL      3                
23002 23002  IDF                    0.9  2     1139          41P         17.5  0.77  0.95   I   PLI        17.8    9       12   FD     24                 AT     17                 SW     15                 BL      3                
21003 21003  IDF                    0.9  2     1139          41P         17.5  0.62  0.95   I   PLI        10.4    9       12   FD     24                 AT     17                 SW     15                 BL      3                
22003 22003  IDF                    0.9  2     1139          41P         17.5  0.69  0.95   I   PLI        14.1    9       12   FD     24                 AT     17                 SW     15                 BL      3                
23003 23003  IDF                    0.9  2     1139          41P         17.5  0.75  0.95   I   PLI        17.8    9       12   FD     24                 AT     17                 SW     15                 BL      3                
21004 21004  MS                       1  1     1400         100P         17.5  0.51  0.95   I   SW          7.2                                                                                                                        
22004 22004  MS                    0.85  2     1133          62P         12.5   0.5  0.95   I   PL          9.1    3       12   AT     17                 SW     10                 FD      8                 BL      3                
23004 23004  MS                    0.85  2     1133          62P         12.5  0.51  0.95   I   PL         11.3    3       12   AT     17                 SW     10                 FD      8                 BL      3                
21005 21005  SBPS                     1  1     1400         100P         17.5  0.56  0.95   I   SW            8                                                                                                                        
22005 22005  SBS                      1  1     1400         100P         17.5  0.54  0.95   I   PL         10.6                                                                                                                        
23005 23005  SBS                      1  1     1400         100P         17.5  0.58  0.95   I   SW         14.8                                                                                                                        
21006 21006  ESSF                     1  2     1173          53P         17.5  0.57  0.95   I   BL          6.3  6.6       12   SE     32                 SW      9                 AT      4                 FD      2                
22006 22006  ESSF                     1  2     1173          53P         17.5  0.61  0.95   I   BL          8.4  6.6       12   SE     32                 SW      9                 AT      4                 FD      2                
23006 23006  ESSF                     1  2     1173          53P         17.5  0.66  0.95   I   BL         11.6  6.6       12   SE     32                 SW      9                 AT      4                 FD      2                
21007 21007  ESSF                     1  1     1400         100P         17.5  0.51  0.95   I   PLI         7.3                                                                                                                        
22007 22007  ESSF                     1  1     1400         100P         17.5  0.52  0.95   I   PLI           9                                                                                                                        
23007 23007  ESSF                     1  1     1400         100P         17.5  0.56  0.95   I   PL         11.3                                                                                                                        
21008 21008  IDF                   0.85  2     1133          62P         12.5  0.57  0.95   I   PL          8.9    3       12   AT     17                 SW     10                 FD      8                 BL      3                
22008 22008  IDF                   0.85  2     1133          62P         12.5  0.52  0.95   I   PL         11.2    3       12   AT     17                 SW     10                 FD      8                 BL      3                
23008 23008  ICH                      1  1     1400         100P         17.5  0.62  0.95   I   PL         14.9                                                                                                                        
21009 21009  SBS                      1  1     1400         100P         17.5  0.54  0.95   I   SE          7.9                                                                                                                        
22009 22009  ESSF                     1  2     1255          49P         17.5  0.59  0.95   I   SE         11.6 12.8       12   PL     28                 AT      9                 BL      8                 FD      6                
23009 23009  SBS                      1  1     1400         100P         17.5  0.69  0.95   I   SW         17.1                                                                                                                        
