GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,product.Seral.area.mature.2901004.CC,product.Seral.area.mature.2901004.CC,1
_MANAGED_,product.Seral.area.mature.2901005.CC,product.Seral.area.mature.2901005.CC,1
_MANAGED_,product.Seral.area.mature.2901006.CC,product.Seral.area.mature.2901006.CC,1
_MANAGED_,product.Seral.area.mature.2901007.CC,product.Seral.area.mature.2901007.CC,1
_MANAGED_,product.Seral.area.mature.2901008.CC,product.Seral.area.mature.2901008.CC,1
_MANAGED_,product.Seral.area.mature.2901009.CC,product.Seral.area.mature.2901009.CC,1
_MANAGED_,product.Seral.area.mature.2902000.CC,product.Seral.area.mature.2902000.CC,1
_MANAGED_,product.Seral.area.mature.2902001.CC,product.Seral.area.mature.2902001.CC,1
_MANAGED_,product.Seral.area.mature.2902002.CC,product.Seral.area.mature.2902002.CC,1
_MANAGED_,product.Seral.area.mature.2902003.CC,product.Seral.area.mature.2902003.CC,1
_MANAGED_,product.Seral.area.mature.2902004.CC,product.Seral.area.mature.2902004.CC,1
_MANAGED_,product.Seral.area.mature.2902005.CC,product.Seral.area.mature.2902005.CC,1
_MANAGED_,product.Seral.area.mature.2902006.CC,product.Seral.area.mature.2902006.CC,1
_MANAGED_,product.Seral.area.mature.2902007.CC,product.Seral.area.mature.2902007.CC,1
_MANAGED_,product.Seral.area.mature.2902008.CC,product.Seral.area.mature.2902008.CC,1
_MANAGED_,product.Seral.area.mature.2902009.CC,product.Seral.area.mature.2902009.CC,1
_MANAGED_,product.Seral.area.mature.2903000.CC,product.Seral.area.mature.2903000.CC,1
_MANAGED_,product.Seral.area.mature.2903001.CC,product.Seral.area.mature.2903001.CC,1
_MANAGED_,product.Seral.area.mature.2903002.CC,product.Seral.area.mature.2903002.CC,1
_MANAGED_,product.Seral.area.mature.2903003.CC,product.Seral.area.mature.2903003.CC,1
_MANAGED_,product.Seral.area.mature.2903004.CC,product.Seral.area.mature.2903004.CC,1
_MANAGED_,product.Seral.area.mature.2903005.CC,product.Seral.area.mature.2903005.CC,1
_MANAGED_,product.Seral.area.mature.2903006.CC,product.Seral.area.mature.2903006.CC,1
_MANAGED_,product.Seral.area.mature.2903007.CC,product.Seral.area.mature.2903007.CC,1
_MANAGED_,product.Seral.area.mature.2903008.CC,product.Seral.area.mature.2903008.CC,1
_MANAGED_,product.Seral.area.mature.2903009.CC,product.Seral.area.mature.2903009.CC,1
_MANAGED_,product.Seral.area.overmature.2901000.CC,product.Seral.area.overmature.2901000.CC,1
_MANAGED_,product.Seral.area.overmature.2901001.CC,product.Seral.area.overmature.2901001.CC,1
_MANAGED_,product.Seral.area.overmature.2901002.CC,product.Seral.area.overmature.2901002.CC,1
_MANAGED_,product.Seral.area.overmature.2901003.CC,product.Seral.area.overmature.2901003.CC,1
_MANAGED_,product.Seral.area.overmature.2901004.CC,product.Seral.area.overmature.2901004.CC,1
_MANAGED_,product.Seral.area.overmature.2901005.CC,product.Seral.area.overmature.2901005.CC,1
_MANAGED_,product.Seral.area.overmature.2901006.CC,product.Seral.area.overmature.2901006.CC,1
_MANAGED_,product.Seral.area.overmature.2901007.CC,product.Seral.area.overmature.2901007.CC,1
_MANAGED_,product.Seral.area.overmature.2901008.CC,product.Seral.area.overmature.2901008.CC,1
_MANAGED_,product.Seral.area.overmature.2901009.CC,product.Seral.area.overmature.2901009.CC,1
_MANAGED_,product.Seral.area.overmature.2902000.CC,product.Seral.area.overmature.2902000.CC,1
_MANAGED_,product.Seral.area.overmature.2902001.CC,product.Seral.area.overmature.2902001.CC,1
_MANAGED_,product.Seral.area.overmature.2902002.CC,product.Seral.area.overmature.2902002.CC,1
_MANAGED_,product.Seral.area.overmature.2902003.CC,product.Seral.area.overmature.2902003.CC,1
_MANAGED_,product.Seral.area.overmature.2902004.CC,product.Seral.area.overmature.2902004.CC,1
_MANAGED_,product.Seral.area.overmature.2902005.CC,product.Seral.area.overmature.2902005.CC,1
_MANAGED_,product.Seral.area.overmature.2902006.CC,product.Seral.area.overmature.2902006.CC,1
_MANAGED_,product.Seral.area.overmature.2902007.CC,product.Seral.area.overmature.2902007.CC,1
_MANAGED_,product.Seral.area.overmature.2902008.CC,product.Seral.area.overmature.2902008.CC,1
_MANAGED_,product.Seral.area.overmature.2902009.CC,product.Seral.area.overmature.2902009.CC,1
_MANAGED_,product.Seral.area.overmature.2903000.CC,product.Seral.area.overmature.2903000.CC,1
_MANAGED_,product.Seral.area.overmature.2903001.CC,product.Seral.area.overmature.2903001.CC,1
_MANAGED_,product.Seral.area.overmature.2903002.CC,product.Seral.area.overmature.2903002.CC,1
_MANAGED_,product.Seral.area.overmature.2903003.CC,product.Seral.area.overmature.2903003.CC,1
_MANAGED_,product.Seral.area.overmature.2903004.CC,product.Seral.area.overmature.2903004.CC,1
_MANAGED_,product.Seral.area.overmature.2903005.CC,product.Seral.area.overmature.2903005.CC,1
_MANAGED_,product.Seral.area.overmature.2903006.CC,product.Seral.area.overmature.2903006.CC,1
_MANAGED_,product.Seral.area.overmature.2903007.CC,product.Seral.area.overmature.2903007.CC,1
_MANAGED_,product.Seral.area.overmature.2903008.CC,product.Seral.area.overmature.2903008.CC,1
_MANAGED_,product.Seral.area.overmature.2903009.CC,product.Seral.area.overmature.2903009.CC,1
_MANAGED_,product.Seral.area.regenerating.2901000.CC,product.Seral.area.regenerating.2901000.CC,1
_MANAGED_,product.Seral.area.regenerating.2901001.CC,product.Seral.area.regenerating.2901001.CC,1
_MANAGED_,product.Seral.area.regenerating.2901002.CC,product.Seral.area.regenerating.2901002.CC,1
_MANAGED_,product.Seral.area.regenerating.2901003.CC,product.Seral.area.regenerating.2901003.CC,1
_MANAGED_,product.Seral.area.regenerating.2901004.CC,product.Seral.area.regenerating.2901004.CC,1
_MANAGED_,product.Seral.area.regenerating.2901005.CC,product.Seral.area.regenerating.2901005.CC,1
_MANAGED_,product.Seral.area.regenerating.2901006.CC,product.Seral.area.regenerating.2901006.CC,1
_MANAGED_,product.Seral.area.regenerating.2901007.CC,product.Seral.area.regenerating.2901007.CC,1
_MANAGED_,product.Seral.area.regenerating.2901008.CC,product.Seral.area.regenerating.2901008.CC,1
_MANAGED_,product.Seral.area.regenerating.2901009.CC,product.Seral.area.regenerating.2901009.CC,1
_MANAGED_,product.Seral.area.regenerating.2902000.CC,product.Seral.area.regenerating.2902000.CC,1
_MANAGED_,product.Seral.area.regenerating.2902001.CC,product.Seral.area.regenerating.2902001.CC,1
_MANAGED_,product.Seral.area.regenerating.2902002.CC,product.Seral.area.regenerating.2902002.CC,1
_MANAGED_,product.Seral.area.regenerating.2902003.CC,product.Seral.area.regenerating.2902003.CC,1
_MANAGED_,product.Seral.area.regenerating.2902004.CC,product.Seral.area.regenerating.2902004.CC,1
_MANAGED_,product.Seral.area.regenerating.2902005.CC,product.Seral.area.regenerating.2902005.CC,1
_MANAGED_,product.Seral.area.regenerating.2902006.CC,product.Seral.area.regenerating.2902006.CC,1
_MANAGED_,product.Seral.area.regenerating.2902007.CC,product.Seral.area.regenerating.2902007.CC,1
_MANAGED_,product.Seral.area.regenerating.2902008.CC,product.Seral.area.regenerating.2902008.CC,1
_MANAGED_,product.Seral.area.regenerating.2902009.CC,product.Seral.area.regenerating.2902009.CC,1
_MANAGED_,product.Seral.area.regenerating.2903000.CC,product.Seral.area.regenerating.2903000.CC,1
_MANAGED_,product.Seral.area.regenerating.2903001.CC,product.Seral.area.regenerating.2903001.CC,1
_MANAGED_,product.Seral.area.regenerating.2903002.CC,product.Seral.area.regenerating.2903002.CC,1
_MANAGED_,product.Seral.area.regenerating.2903003.CC,product.Seral.area.regenerating.2903003.CC,1
_MANAGED_,product.Seral.area.regenerating.2903004.CC,product.Seral.area.regenerating.2903004.CC,1
_MANAGED_,product.Seral.area.regenerating.2903005.CC,product.Seral.area.regenerating.2903005.CC,1
_MANAGED_,product.Seral.area.regenerating.2903006.CC,product.Seral.area.regenerating.2903006.CC,1
_MANAGED_,product.Seral.area.regenerating.2903007.CC,product.Seral.area.regenerating.2903007.CC,1
_MANAGED_,product.Seral.area.regenerating.2903008.CC,product.Seral.area.regenerating.2903008.CC,1
_MANAGED_,product.Seral.area.regenerating.2903009.CC,product.Seral.area.regenerating.2903009.CC,1
_MANAGED_,product.Seral.area.young.2901000.CC,product.Seral.area.young.2901000.CC,1
_MANAGED_,product.Seral.area.young.2901001.CC,product.Seral.area.young.2901001.CC,1
_MANAGED_,product.Seral.area.young.2901002.CC,product.Seral.area.young.2901002.CC,1
_MANAGED_,product.Seral.area.young.2901003.CC,product.Seral.area.young.2901003.CC,1
_MANAGED_,product.Seral.area.young.2901004.CC,product.Seral.area.young.2901004.CC,1
_MANAGED_,product.Seral.area.young.2901005.CC,product.Seral.area.young.2901005.CC,1
_MANAGED_,product.Seral.area.young.2901006.CC,product.Seral.area.young.2901006.CC,1
_MANAGED_,product.Seral.area.young.2901007.CC,product.Seral.area.young.2901007.CC,1
_MANAGED_,product.Seral.area.young.2901008.CC,product.Seral.area.young.2901008.CC,1
_MANAGED_,product.Seral.area.young.2901009.CC,product.Seral.area.young.2901009.CC,1
_MANAGED_,product.Seral.area.young.2902000.CC,product.Seral.area.young.2902000.CC,1
_MANAGED_,product.Seral.area.young.2902001.CC,product.Seral.area.young.2902001.CC,1
_MANAGED_,product.Seral.area.young.2902002.CC,product.Seral.area.young.2902002.CC,1
_MANAGED_,product.Seral.area.young.2902003.CC,product.Seral.area.young.2902003.CC,1
_MANAGED_,product.Seral.area.young.2902004.CC,product.Seral.area.young.2902004.CC,1
_MANAGED_,product.Seral.area.young.2902005.CC,product.Seral.area.young.2902005.CC,1
_MANAGED_,product.Seral.area.young.2902006.CC,product.Seral.area.young.2902006.CC,1
_MANAGED_,product.Seral.area.young.2902007.CC,product.Seral.area.young.2902007.CC,1
_MANAGED_,product.Seral.area.young.2902008.CC,product.Seral.area.young.2902008.CC,1
_MANAGED_,product.Seral.area.young.2902009.CC,product.Seral.area.young.2902009.CC,1
_MANAGED_,product.Seral.area.young.2903000.CC,product.Seral.area.young.2903000.CC,1
_MANAGED_,product.Seral.area.young.2903001.CC,product.Seral.area.young.2903001.CC,1
_MANAGED_,product.Seral.area.young.2903002.CC,product.Seral.area.young.2903002.CC,1
_MANAGED_,product.Seral.area.young.2903003.CC,product.Seral.area.young.2903003.CC,1
_MANAGED_,product.Seral.area.young.2903004.CC,product.Seral.area.young.2903004.CC,1
_MANAGED_,product.Seral.area.young.2903005.CC,product.Seral.area.young.2903005.CC,1
_MANAGED_,product.Seral.area.young.2903006.CC,product.Seral.area.young.2903006.CC,1
_MANAGED_,product.Seral.area.young.2903007.CC,product.Seral.area.young.2903007.CC,1
_MANAGED_,product.Seral.area.young.2903008.CC,product.Seral.area.young.2903008.CC,1
_MANAGED_,product.Seral.area.young.2903009.CC,product.Seral.area.young.2903009.CC,1
_MANAGED_,product.SpeciesProp.managed.AT,product.SpeciesProp.managed.AT,1
_MANAGED_,product.SpeciesProp.managed.B,product.SpeciesProp.managed.B,1
_MANAGED_,product.SpeciesProp.managed.BL,product.SpeciesProp.managed.BL,1
_MANAGED_,product.SpeciesProp.managed.FD,product.SpeciesProp.managed.FD,1
_MANAGED_,product.SpeciesProp.managed.FDI,product.SpeciesProp.managed.FDI,1
_MANAGED_,product.SpeciesProp.managed.PL,product.SpeciesProp.managed.PL,1
_MANAGED_,product.SpeciesProp.managed.PLI,product.SpeciesProp.managed.PLI,1
_MANAGED_,product.SpeciesProp.managed.S,product.SpeciesProp.managed.S,1
_MANAGED_,product.SpeciesProp.managed.SE,product.SpeciesProp.managed.SE,1
_MANAGED_,product.SpeciesProp.managed.SX,product.SpeciesProp.managed.SX,1
_MANAGED_,product.Treated.managed.CC,product.Treated.managed.CC,1
_MANAGED_,product.Yield.managed.AT,product.Yield.managed.AT,1
_MANAGED_,product.Yield.managed.B,product.Yield.managed.B,1
_MANAGED_,product.Yield.managed.BL,product.Yield.managed.BL,1
_MANAGED_,product.Yield.managed.FD,product.Yield.managed.FD,1
_MANAGED_,product.Yield.managed.FDI,product.Yield.managed.FDI,1
_MANAGED_,product.Yield.managed.PL,product.Yield.managed.PL,1
_MANAGED_,product.Yield.managed.PLI,product.Yield.managed.PLI,1
_MANAGED_,product.Yield.managed.S,product.Yield.managed.S,1
_MANAGED_,product.Yield.managed.SE,product.Yield.managed.SE,1
_MANAGED_,product.Yield.managed.SX,product.Yield.managed.SX,1
_MANAGED_,product.Yield.managed.Total,product.Yield.managed.Total,1
