TRACK,LABEL,METHOD,CURVE
28,feature.Yield.unmanaged.Total,,44
29,feature.Area.managed,,9
29,feature.Area.og1.SBPS_PL_M,,35
29,feature.Area.og1.total,,35
29,feature.Area.og2.SBPS_PL_M,,8
29,feature.Area.og2.total,,8
29,feature.Yield.managed.Total,,45
30,feature.Area.managed,,9
30,feature.Area.og1.SBPS_PL_M,,35
30,feature.Area.og1.total,,35
30,feature.Area.og2.SBPS_PL_M,,8
30,feature.Area.og2.total,,8
30,feature.Yield.managed.Total,,45
31,feature.Area.og1.IDF_PL_L,,37
31,feature.Area.og1.total,,37
31,feature.Area.og2.IDF_PL_L,,1
31,feature.Area.og2.total,,1
31,feature.Area.unmanaged,,2
31,feature.Yield.unmanaged.Total,,38
32,feature.Area.managed,,2
32,feature.Area.og1.IDF_PL_L,,37
32,feature.Area.og1.total,,37
32,feature.Area.og2.IDF_PL_L,,1
32,feature.Area.og2.total,,1
32,feature.Yield.managed.Total,,39
33,feature.Area.managed,,2
33,feature.Area.og1.IDF_PL_L,,37
33,feature.Area.og1.total,,37
33,feature.Area.og2.IDF_PL_L,,1
33,feature.Area.og2.total,,1
33,feature.Yield.managed.Total,,39
34,feature.Area.og1.IDF_FD_L,,18
34,feature.Area.og1.total,,18
34,feature.Area.og2.IDF_FD_L,,1
34,feature.Area.og2.total,,1
34,feature.Area.unmanaged,,2
34,feature.Yield.unmanaged.Total,,48
35,feature.Area.managed,,2
35,feature.Area.og1.IDF_FD_L,,18
35,feature.Area.og1.total,,18
35,feature.Area.og2.IDF_FD_L,,1
35,feature.Area.og2.total,,1
35,feature.Yield.managed.Total,,49
36,feature.Area.managed,,2
36,feature.Area.og1.IDF_FD_L,,18
36,feature.Area.og1.total,,18
36,feature.Area.og2.IDF_FD_L,,1
36,feature.Area.og2.total,,1
36,feature.Yield.managed.Total,,49
37,feature.Area.og1.SBPS_PL_H,,52
37,feature.Area.og1.total,,52
37,feature.Area.og2.SBPS_PL_H,,1
37,feature.Area.og2.total,,1
37,feature.Area.unmanaged,,2
37,feature.Yield.unmanaged.Total,,53
38,feature.Area.managed,,2
38,feature.Area.og1.SBPS_PL_H,,52
38,feature.Area.og1.total,,52
38,feature.Area.og2.SBPS_PL_H,,1
38,feature.Area.og2.total,,1
38,feature.Yield.managed.Total,,54
39,feature.Area.managed,,2
39,feature.Area.og1.SBPS_PL_H,,52
39,feature.Area.og1.total,,52
39,feature.Area.og2.SBPS_PL_H,,1
39,feature.Area.og2.total,,1
39,feature.Yield.managed.Total,,54
40,feature.Area.og1.IDF_PL_H,,13
40,feature.Area.og1.total,,13
40,feature.Area.og2.IDF_PL_H,,1
40,feature.Area.og2.total,,1
40,feature.Area.unmanaged,,2
