GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Area.managed,feature.Area.managed,1
_MANAGED_,feature.Seral.2901000.immature,feature.Seral.2901000.immature,1
_MANAGED_,feature.Seral.2901000.mature,feature.Seral.2901000.mature,1
_MANAGED_,feature.Seral.2901000.overmature,feature.Seral.2901000.overmature,1
_MANAGED_,feature.Seral.2901000.regenerating,feature.Seral.2901000.regenerating,1
_MANAGED_,feature.Seral.2901000.young,feature.Seral.2901000.young,1
_MANAGED_,feature.Seral.2901001.immature,feature.Seral.2901001.immature,1
_MANAGED_,feature.Seral.2901001.mature,feature.Seral.2901001.mature,1
_MANAGED_,feature.Seral.2901001.overmature,feature.Seral.2901001.overmature,1
_MANAGED_,feature.Seral.2901001.regenerating,feature.Seral.2901001.regenerating,1
_MANAGED_,feature.Seral.2901001.young,feature.Seral.2901001.young,1
_MANAGED_,feature.Seral.2901002.immature,feature.Seral.2901002.immature,1
_MANAGED_,feature.Seral.2901002.mature,feature.Seral.2901002.mature,1
_MANAGED_,feature.Seral.2901002.overmature,feature.Seral.2901002.overmature,1
_MANAGED_,feature.Seral.2901002.regenerating,feature.Seral.2901002.regenerating,1
_MANAGED_,feature.Seral.2901002.young,feature.Seral.2901002.young,1
_MANAGED_,feature.Seral.2901003.immature,feature.Seral.2901003.immature,1
_MANAGED_,feature.Seral.2901003.mature,feature.Seral.2901003.mature,1
_MANAGED_,feature.Seral.2901003.overmature,feature.Seral.2901003.overmature,1
_MANAGED_,feature.Seral.2901003.regenerating,feature.Seral.2901003.regenerating,1
_MANAGED_,feature.Seral.2901003.young,feature.Seral.2901003.young,1
_MANAGED_,feature.Seral.2901004.immature,feature.Seral.2901004.immature,1
_MANAGED_,feature.Seral.2901004.mature,feature.Seral.2901004.mature,1
_MANAGED_,feature.Seral.2901004.overmature,feature.Seral.2901004.overmature,1
_MANAGED_,feature.Seral.2901004.regenerating,feature.Seral.2901004.regenerating,1
_MANAGED_,feature.Seral.2901004.young,feature.Seral.2901004.young,1
_MANAGED_,feature.Seral.2901005.immature,feature.Seral.2901005.immature,1
_MANAGED_,feature.Seral.2901005.mature,feature.Seral.2901005.mature,1
_MANAGED_,feature.Seral.2901005.overmature,feature.Seral.2901005.overmature,1
_MANAGED_,feature.Seral.2901005.regenerating,feature.Seral.2901005.regenerating,1
_MANAGED_,feature.Seral.2901005.young,feature.Seral.2901005.young,1
_MANAGED_,feature.Seral.2901006.immature,feature.Seral.2901006.immature,1
_MANAGED_,feature.Seral.2901006.mature,feature.Seral.2901006.mature,1
_MANAGED_,feature.Seral.2901006.overmature,feature.Seral.2901006.overmature,1
_MANAGED_,feature.Seral.2901006.regenerating,feature.Seral.2901006.regenerating,1
_MANAGED_,feature.Seral.2901006.young,feature.Seral.2901006.young,1
_MANAGED_,feature.Seral.2901007.immature,feature.Seral.2901007.immature,1
_MANAGED_,feature.Seral.2901007.mature,feature.Seral.2901007.mature,1
_MANAGED_,feature.Seral.2901007.overmature,feature.Seral.2901007.overmature,1
_MANAGED_,feature.Seral.2901007.regenerating,feature.Seral.2901007.regenerating,1
_MANAGED_,feature.Seral.2901007.young,feature.Seral.2901007.young,1
_MANAGED_,feature.Seral.2901008.immature,feature.Seral.2901008.immature,1
_MANAGED_,feature.Seral.2901008.mature,feature.Seral.2901008.mature,1
_MANAGED_,feature.Seral.2901008.overmature,feature.Seral.2901008.overmature,1
_MANAGED_,feature.Seral.2901008.regenerating,feature.Seral.2901008.regenerating,1
_MANAGED_,feature.Seral.2901008.young,feature.Seral.2901008.young,1
_MANAGED_,feature.Seral.2901009.immature,feature.Seral.2901009.immature,1
_MANAGED_,feature.Seral.2901009.mature,feature.Seral.2901009.mature,1
_MANAGED_,feature.Seral.2901009.overmature,feature.Seral.2901009.overmature,1
_MANAGED_,feature.Seral.2901009.regenerating,feature.Seral.2901009.regenerating,1
_MANAGED_,feature.Seral.2901009.young,feature.Seral.2901009.young,1
_MANAGED_,feature.Seral.2902000.immature,feature.Seral.2902000.immature,1
_MANAGED_,feature.Seral.2902000.mature,feature.Seral.2902000.mature,1
_MANAGED_,feature.Seral.2902000.overmature,feature.Seral.2902000.overmature,1
_MANAGED_,feature.Seral.2902000.regenerating,feature.Seral.2902000.regenerating,1
_MANAGED_,feature.Seral.2902000.young,feature.Seral.2902000.young,1
_MANAGED_,feature.Seral.2902001.immature,feature.Seral.2902001.immature,1
_MANAGED_,feature.Seral.2902001.mature,feature.Seral.2902001.mature,1
_MANAGED_,feature.Seral.2902001.overmature,feature.Seral.2902001.overmature,1
_MANAGED_,feature.Seral.2902001.regenerating,feature.Seral.2902001.regenerating,1
_MANAGED_,feature.Seral.2902001.young,feature.Seral.2902001.young,1
_MANAGED_,feature.Seral.2902002.immature,feature.Seral.2902002.immature,1
_MANAGED_,feature.Seral.2902002.mature,feature.Seral.2902002.mature,1
_MANAGED_,feature.Seral.2902002.overmature,feature.Seral.2902002.overmature,1
_MANAGED_,feature.Seral.2902002.regenerating,feature.Seral.2902002.regenerating,1
_MANAGED_,feature.Seral.2902002.young,feature.Seral.2902002.young,1
_MANAGED_,feature.Seral.2902003.immature,feature.Seral.2902003.immature,1
_MANAGED_,feature.Seral.2902003.mature,feature.Seral.2902003.mature,1
_MANAGED_,feature.Seral.2902003.overmature,feature.Seral.2902003.overmature,1
_MANAGED_,feature.Seral.2902003.regenerating,feature.Seral.2902003.regenerating,1
_MANAGED_,feature.Seral.2902003.young,feature.Seral.2902003.young,1
_MANAGED_,feature.Seral.2902004.immature,feature.Seral.2902004.immature,1
_MANAGED_,feature.Seral.2902004.mature,feature.Seral.2902004.mature,1
_MANAGED_,feature.Seral.2902004.overmature,feature.Seral.2902004.overmature,1
_MANAGED_,feature.Seral.2902004.regenerating,feature.Seral.2902004.regenerating,1
_MANAGED_,feature.Seral.2902004.young,feature.Seral.2902004.young,1
_MANAGED_,feature.Seral.2902005.immature,feature.Seral.2902005.immature,1
_MANAGED_,feature.Seral.2902005.mature,feature.Seral.2902005.mature,1
_MANAGED_,feature.Seral.2902005.overmature,feature.Seral.2902005.overmature,1
_MANAGED_,feature.Seral.2902005.regenerating,feature.Seral.2902005.regenerating,1
_MANAGED_,feature.Seral.2902005.young,feature.Seral.2902005.young,1
_MANAGED_,feature.Seral.2902006.immature,feature.Seral.2902006.immature,1
_MANAGED_,feature.Seral.2902006.mature,feature.Seral.2902006.mature,1
_MANAGED_,feature.Seral.2902006.overmature,feature.Seral.2902006.overmature,1
_MANAGED_,feature.Seral.2902006.regenerating,feature.Seral.2902006.regenerating,1
_MANAGED_,feature.Seral.2902006.young,feature.Seral.2902006.young,1
_MANAGED_,feature.Seral.2902007.immature,feature.Seral.2902007.immature,1
_MANAGED_,feature.Seral.2902007.mature,feature.Seral.2902007.mature,1
_MANAGED_,feature.Seral.2902007.overmature,feature.Seral.2902007.overmature,1
_MANAGED_,feature.Seral.2902007.regenerating,feature.Seral.2902007.regenerating,1
_MANAGED_,feature.Seral.2902007.young,feature.Seral.2902007.young,1
_MANAGED_,feature.Seral.2902008.immature,feature.Seral.2902008.immature,1
_MANAGED_,feature.Seral.2902008.mature,feature.Seral.2902008.mature,1
_MANAGED_,feature.Seral.2902008.overmature,feature.Seral.2902008.overmature,1
_MANAGED_,feature.Seral.2902008.regenerating,feature.Seral.2902008.regenerating,1
_MANAGED_,feature.Seral.2902008.young,feature.Seral.2902008.young,1
_MANAGED_,feature.Seral.2902009.immature,feature.Seral.2902009.immature,1
_MANAGED_,feature.Seral.2902009.mature,feature.Seral.2902009.mature,1
_MANAGED_,feature.Seral.2902009.overmature,feature.Seral.2902009.overmature,1
_MANAGED_,feature.Seral.2902009.regenerating,feature.Seral.2902009.regenerating,1
_MANAGED_,feature.Seral.2902009.young,feature.Seral.2902009.young,1
_MANAGED_,feature.Seral.2903000.immature,feature.Seral.2903000.immature,1
_MANAGED_,feature.Seral.2903000.mature,feature.Seral.2903000.mature,1
_MANAGED_,feature.Seral.2903000.overmature,feature.Seral.2903000.overmature,1
_MANAGED_,feature.Seral.2903000.regenerating,feature.Seral.2903000.regenerating,1
_MANAGED_,feature.Seral.2903000.young,feature.Seral.2903000.young,1
_MANAGED_,feature.Seral.2903001.immature,feature.Seral.2903001.immature,1
_MANAGED_,feature.Seral.2903001.mature,feature.Seral.2903001.mature,1
_MANAGED_,feature.Seral.2903001.overmature,feature.Seral.2903001.overmature,1
_MANAGED_,feature.Seral.2903001.regenerating,feature.Seral.2903001.regenerating,1
_MANAGED_,feature.Seral.2903001.young,feature.Seral.2903001.young,1
_MANAGED_,feature.Seral.2903002.immature,feature.Seral.2903002.immature,1
_MANAGED_,feature.Seral.2903002.mature,feature.Seral.2903002.mature,1
_MANAGED_,feature.Seral.2903002.overmature,feature.Seral.2903002.overmature,1
_MANAGED_,feature.Seral.2903002.regenerating,feature.Seral.2903002.regenerating,1
_MANAGED_,feature.Seral.2903002.young,feature.Seral.2903002.young,1
_MANAGED_,feature.Seral.2903003.immature,feature.Seral.2903003.immature,1
_MANAGED_,feature.Seral.2903003.mature,feature.Seral.2903003.mature,1
_MANAGED_,feature.Seral.2903003.overmature,feature.Seral.2903003.overmature,1
_MANAGED_,feature.Seral.2903003.regenerating,feature.Seral.2903003.regenerating,1
_MANAGED_,feature.Seral.2903003.young,feature.Seral.2903003.young,1
_MANAGED_,feature.Seral.2903004.immature,feature.Seral.2903004.immature,1
_MANAGED_,feature.Seral.2903004.mature,feature.Seral.2903004.mature,1
_MANAGED_,feature.Seral.2903004.overmature,feature.Seral.2903004.overmature,1
_MANAGED_,feature.Seral.2903004.regenerating,feature.Seral.2903004.regenerating,1
_MANAGED_,feature.Seral.2903004.young,feature.Seral.2903004.young,1
_MANAGED_,feature.Seral.2903005.immature,feature.Seral.2903005.immature,1
_MANAGED_,feature.Seral.2903005.mature,feature.Seral.2903005.mature,1
_MANAGED_,feature.Seral.2903005.overmature,feature.Seral.2903005.overmature,1
_MANAGED_,feature.Seral.2903005.regenerating,feature.Seral.2903005.regenerating,1
_MANAGED_,feature.Seral.2903005.young,feature.Seral.2903005.young,1
_MANAGED_,feature.Seral.2903006.immature,feature.Seral.2903006.immature,1
_MANAGED_,feature.Seral.2903006.mature,feature.Seral.2903006.mature,1
_MANAGED_,feature.Seral.2903006.overmature,feature.Seral.2903006.overmature,1
_MANAGED_,feature.Seral.2903006.regenerating,feature.Seral.2903006.regenerating,1
_MANAGED_,feature.Seral.2903006.young,feature.Seral.2903006.young,1
_MANAGED_,feature.Seral.2903007.immature,feature.Seral.2903007.immature,1
_MANAGED_,feature.Seral.2903007.mature,feature.Seral.2903007.mature,1
_MANAGED_,feature.Seral.2903007.overmature,feature.Seral.2903007.overmature,1
