TYPE,ROTATION,treatment,AU,IFM
succession,0,,2902005,managed
succession,0,,2903002,managed
succession,0,,2901005,managed
succession,0,,2901008,managed
succession,0,,2903000,managed
succession,0,,2901009,managed
succession,0,,2901000,managed
succession,0,,2902000,managed
succession,0,,2901003,managed
succession,0,,2902002,managed
succession,0,,2902008,managed
succession,0,,2903005,managed
succession,0,,2903001,managed
succession,0,,2901002,managed
succession,0,,2902003,managed
succession,0,,2903008,managed
succession,0,,2903006,managed
succession,0,,2901001,managed
succession,0,,2902009,managed
succession,0,,2902004,managed
succession,0,,2903003,managed
succession,0,,2902007,managed
succession,0,,2902006,managed
succession,0,,2902001,managed
succession,0,,2903007,managed
succession,0,,2903009,managed
succession,0,,2901004,managed
succession,0,,2903004,managed
succession,0,,2901006,managed
succession,0,,2901007,managed
