AU,managed_curve_id,stratum_code,si_level,source_bec,source_leading_species,treated_si_baseline_est,treated_si_final,official_tsr_table40_au,official_tsr_match_status,official_tsr_no_match_reason,matched_tipsy_rule_id,hits_tsa29_catchall,treated_regen_method,treated_regen_delay,treated_density,treated_oaf1,treated_oaf2,treated_gw_1,treated_gw_age_1,treated_util_dbh_cm,treated_species_mix_1,treated_species_mix_2,treated_species_mix_3,treated_species_mix_4,treated_species_mix_5
21015,2921015,ICH_SX,L,ICH,SX,12.0,14.0,,NO_MATCH,leading species SX only official in MS or SBS; source BEC=ICH,tsa29_all_aus_catchall,True,P,1,1400,0.68,0.95,,,17.5,SW:100,,,,
21016,2921016,ICH_CW,L,ICH,CW,15.3,17.3,cw_allg,cw_allg,,tsa29_all_aus_catchall,True,P,1,1400,0.85,0.95,,,17.5,CW:100,,,,
21017,2921017,SBS_SX,L,SBS,SX,15.7,17.7,sx_sbsg,sx_sbsg,,tsa29_all_aus_catchall,True,P,1,1400,0.89,0.95,,,17.5,SW:100,,,,
22000,2922000,SBPS_PLI,M,SBPS,PLI,9.1,11.1,,NO_MATCH,leading species PLI only official in MS or SBS; source BEC=SBPS,tsa29_pine_poor_sbps,False,P,4,1001,0.73,0.95,3.0,12.0,12.5,PL:97,FD:1,SW:2,,
22001,2922001,MS_PLI,M,MS,PLI,9.6,11.6,pl_msp,pl_msp,,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.75,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
22002,2922002,IDF_FD,M,IDF,FD,12.9,14.9,fd_allm,fd_allm,,tsa29_fir_idf,False,P,2,1139,0.62,0.95,9.0,12.0,17.5,PLI:41,FD:41,SW:15,BL:3,
22003,2922003,IDF_FDI,M,IDF,FDI,12.7,14.7,fd_allm,fd_allm,,tsa29_fir_idf,False,P,2,1139,0.74,0.95,9.0,12.0,17.5,PLI:41,FD:41,SW:15,BL:3,
22004,2922004,MS_PL,M,MS,PL,8.8,10.8,pl_msp,pl_msp,,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.59,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
22005,2922005,SBPS_PL,M,SBPS,PL,10.7,12.7,,NO_MATCH,leading species PL only official in MS or SBS; source BEC=SBPS,tsa29_pine_poor_sbps,False,P,4,1001,0.77,0.95,3.0,12.0,12.5,PL:97,FD:1,SW:2,,
22006,2922006,ESSF_BL,M,ESSF,BL,8.3,10.3,bl_alla,bl_alla,,tsa29_balsam_essf,False,P,2,1173,0.61,0.95,6.6,12.0,17.5,BL:57,SE:32,SW:9,FD:2,
22007,2922007,ESSF_PL,M,ESSF,PL,10.1,12.1,,NO_MATCH,leading species PL only official in MS or SBS; source BEC=ESSF,tsa29_all_aus_catchall,True,P,1,1400,0.73,0.95,,,17.5,PL:100,,,,
22008,2922008,IDF_PL,M,IDF,PL,11.5,13.5,,NO_MATCH,leading species PL only official in MS or SBS; source BEC=IDF,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.77,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
22009,2922009,ESSF_SE,M,ESSF,SE,8.8,10.8,,NO_MATCH,leading species SE only official in MS or SBS; source BEC=ESSF,tsa29_spruce_essf,False,P,2,1255,0.85,0.95,12.8,12.0,17.5,SE:58,PL:28,BL:8,FD:6,
22010,2922010,SBPS_SX,M,SBPS,SX,9.6,11.6,,NO_MATCH,leading species SX only official in MS or SBS; source BEC=SBPS,tsa29_all_aus_catchall,True,P,1,1400,0.64,0.95,,,17.5,SW:100,,,,
22011,2922011,IDF_PLI,M,IDF,PLI,10.5,12.5,,NO_MATCH,leading species PLI only official in MS or SBS; source BEC=IDF,tsa29_pine_ms_sbps_idf,False,P,2,1133,0.59,0.95,3.0,12.0,12.5,PL:79,SW:10,FD:8,BL:3,
22012,2922012,ICH_FD,M,ICH,FD,17.1,19.1,fd_allg,fd_allg,,tsa29_all_aus_catchall,True,P,1,1400,0.82,0.95,,,17.5,FD:100,,,,
