tsa,au_id,action_id,from_ifm,to_ifm,min_age,max_age,managed_curve_id
29,2901000,CC,managed,managed,0,1000,2921000
29,2901001,CC,managed,managed,0,1000,2921001
29,2901002,CC,managed,managed,0,1000,2921002
29,2901003,CC,managed,managed,0,1000,2921003
29,2901004,CC,managed,managed,0,1000,2921004
29,2901005,CC,managed,managed,0,1000,2921005
29,2901006,CC,managed,managed,0,1000,2921006
29,2901007,CC,managed,managed,0,1000,2921007
29,2901008,CC,managed,managed,0,1000,2921008
29,2901009,CC,managed,managed,0,1000,2921009
29,2902000,CC,managed,managed,0,1000,2922000
29,2902001,CC,managed,managed,0,1000,2922001
29,2902002,CC,managed,managed,0,1000,2922002
29,2902003,CC,managed,managed,0,1000,2922003
29,2902004,CC,managed,managed,0,1000,2922004
29,2902005,CC,managed,managed,0,1000,2922005
29,2902006,CC,managed,managed,0,1000,2922006
29,2902007,CC,managed,managed,0,1000,2922007
29,2902008,CC,managed,managed,0,1000,2922008
29,2902009,CC,managed,managed,0,1000,2922009
29,2903000,CC,managed,managed,0,1000,2923000
29,2903001,CC,managed,managed,0,1000,2923001
29,2903002,CC,managed,managed,0,1000,2923002
29,2903003,CC,managed,managed,0,1000,2923003
29,2903004,CC,managed,managed,0,1000,2923004
29,2903005,CC,managed,managed,0,1000,2923005
29,2903006,CC,managed,managed,0,1000,2923006
29,2903007,CC,managed,managed,0,1000,2923007
29,2903008,CC,managed,managed,0,1000,2923008
29,2903009,CC,managed,managed,0,1000,2923009
